"ID","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0113011",145.897375171733,184.954633850718,127.369521871717,36.4100573234063,25.1561403652681,22.4690560698497,6.27181316994254e-11,-2.46419157180765,9.8087999211825e-13,0.181219288863339,10.202606887261
"FBtr0113113",229.389768524606,172.690456833043,261.956392719145,27.2310616893822,26.6007263203147,63.6258478799519,1.05325269030347e-06,-2.51947562009552,3.07809434343162e-08,0.174406338674212,5.9774674228895
"FBtr0113190",32.4563373077155,27.5330697243937,24.9577845993159,4.21702473973327,8.82281006198098,9.74433414613824,0.00893543198167117,-1.98834877548474,0.000742759018572502,0.252027178096426,2.04888444677097
"FBtr0113291",41.7590352852144,41.210727519542,42.5097840537545,14.2850228954645,15.3662697314425,11.7601091875309,0.00139013566313091,-1.63871197621429,8.70402571846033e-05,0.321143059771577,2.85694281494434
"FBtr0113451",28.0962940178894,16.5451427086219,31.2709737927534,5.670706233521,6.63869855042783,5.72068473509471,0.00791692184845968,-2.23572630225219,0.000645459666642136,0.212314336543237,2.1014436421577
"FBtr0113470",771.234008334554,908.650453061761,784.302895321517,95.7915835868924,55.2756293452455,53.4113105086,4.37978940182596e-37,-3.60777753246424,9.86831276753364e-40,0.0820258510482296,36.3585467716474
"FBtr0273370",2806.96671095987,4072.71681474634,3351.69299058932,917.113021892202,349.497564706881,293.672756521799,2.54601093187666e-08,-2.72391550815912,5.63530583993907e-10,0.151362999850908,7.59413973593628
"FBtr0273385",74.1687883217905,81.7983778120709,111.021505492335,44.7642553190389,17.0508359365997,16.1633278906073,0.00977614554071255,-1.79687126933132,0.000824072705618712,0.287798051704979,2.00983234156778
"FBtr0289981",548.052304642686,684.168152156528,554.371667714981,266.975339040237,171.417648136524,235.560231133276,9.62961796428884e-09,-1.41393435433576,1.93358134074189e-10,0.375286850332546,8.01639094229316
"FBtr0290019",2667.80944846427,2915.85498669577,2957.04968777373,1101.65949672679,884.828956143346,972.269948264197,3.8685136592801e-42,-1.53554816181146,6.92179382376161e-45,0.344948248009056,41.4124558653594
"FBtr0290025",138.246548108313,102.391658352337,164.965431444136,8.64069392413929,14.5955782153772,12.7692415345615,3.17941388946632e-15,-3.57742965679272,2.82333638958574e-17,0.0837695853863543,14.4976529328556
"FBtr0290076",1060.82539036549,1022.94233199859,915.63309520155,424.006000961114,460.766897664659,459.128483117615,1.6863801534606e-23,-1.1641479563764,7.71108221264292e-26,0.446227720262664,22.7730445175285
"FBtr0290077",818.213400019065,1078.46119786902,954.9516425781,358.930673491922,266.22704121383,311.802202013025,5.70876174645731e-17,-1.61417845365897,4.4262765032174e-19,0.326650906004572,16.2434580817714
"FBtr0290327",675.087251986493,790.6547857893,720.739369321928,327.562068629449,168.10849802556,321.130435044207,1.49078962401222e-05,-1.42736524703787,5.49290278960103e-07,0.37180929774906,4.82658363862407
"FBtr0299526",327.81412821084,342.111411598228,245.724835883092,136.163701814942,159.372299352273,133.655334158617,9.69720020240218e-06,-1.10030379522332,3.42931903169008e-07,0.46641826949179,5.01335363812183
"FBtr0299968",1015.86356133419,1072.06473812665,1220.53699792049,399.804653571211,380.143642415786,318.93513883604,2.2177359858294e-26,-1.59745614327434,8.08319941819861e-29,0.33045915203429,25.6540901564385
"FBtr0300190",937.872288333572,1010.01584213581,934.934577449512,126.397148106833,132.16618341763,127.483204209487,6.15897173192796e-126,-2.90995443616271,8.16298440282036e-130,0.133050474799664,125.210491789203
"FBtr0300599",513.842632644866,485.85118648984,609.978306184679,124.454286690062,73.5290881934267,71.6426134401034,9.17737508607342e-18,-2.5915491376399,6.2642122853914e-20,0.165907482880559,17.0372815179978
"FBtr0301131",433.326068583464,681.438274755849,660.089458194838,221.49333250133,40.1030927772462,108.32541385194,0.00156048504099557,-2.27629131859965,9.85515072278845e-05,0.206427728762129,2.80674039017982
"FBtr0301403",1622.12252345718,1645.74838178639,1818.91359553959,780.682137159186,799.085069225154,809.387166231693,1.97706780818683e-35,-1.09556004081126,4.71666276306997e-38,0.467954432890947,34.703978435281
"FBtr0301537",928.292901092939,974.811849188409,654.092013894995,455.778697090213,315.70120684422,313.437679523016,8.37034742535005e-06,-1.24376738312066,2.88996090696314e-07,0.422268523843151,5.07725651550961
"FBtr0301651",68.1871394000317,116.9003880212,41.8781696833004,10.6412052474122,5.06257934871962,4.18010749213129,9.02647203068915e-06,-3.57808986235293,3.15836794711986e-07,0.0837312595502969,5.04448195920903
"FBtr0301915",2354.53998336179,2515.67016373141,2678.75799446338,579.224829466525,540.227634041451,223.190939353205,5.99686541021757e-11,-2.49999453144485,9.25957349622726e-13,0.176777365372372,10.2220756980783
"FBtr0302323",216.201908777861,154.418169637311,233.738226073934,79.3825103500278,97.7490362185983,76.7283807021638,5.71832994502476e-05,-1.26537855167427,2.41390071237957e-06,0.415990200522743,4.24273078966192
"FBtr0302498",117.299630796258,231.770483882061,156.124181700948,72.4350683359431,30.7878691770279,32.4326565102497,0.0019388482334139,-1.91858779228689,0.000125915922382082,0.264513307013225,2.71245618471731
"FBtr0302592",283.328801414824,318.655631052788,237.159918504246,115.594561582396,102.056579550459,133.207795608863,2.83533440760635e-07,-1.26566372531543,7.38427052477995e-09,0.415907980987081,6.54739571179284
"FBtr0302615",608.674964302871,656.059562998011,415.695445957066,13.0537228519963,68.8351707766676,66.8965700108134,3.24563004537614e-07,-3.50894122411163,8.6033930957618e-09,0.0878422474131625,6.48870098494365
"FBtr0302645",753.428249017434,941.949045526442,714.223805497522,325.391849526662,340.520546212412,270.532362184371,1.17696243697808e-12,-1.37087726630547,1.41953057342618e-14,0.386656061131819,11.9292373975418
"FBtr0302691",159.727060259697,144.866247411753,153.389405494835,96.936427068718,56.3085287496179,72.7838095314518,0.00292885317632241,-1.03251650264931,0.000202050109778107,0.488856688656433,2.53330239899482
"FBtr0302692",1822.78614570585,1533.49456676083,1461.22565883461,332.987630183454,686.376036870616,606.180508585039,1.18289757729121e-06,-1.57145517679519,3.48049386558844e-08,0.336468843132622,5.9270528576907
"FBtr0302694",1167.03496576819,1332.59452641879,1023.28308532825,358.415691172642,378.758922577094,397.861706129848,6.39378533095421e-27,-1.63925487992575,2.24566350258829e-29,0.321022232463473,26.1942419491008
