aligner	DEsoftware	direction	ID
bowtie2	deseq2	down	FBtr0301537
bowtie2	deseq2	down	FBtr0301651
bowtie2	deseq2	down	FBtr0301915
bowtie2	deseq2	down	FBtr0302323
bowtie2	deseq2	down	FBtr0302498
bowtie2	deseq2	down	FBtr0302592
bowtie2	deseq2	down	FBtr0302615
bowtie2	deseq2	down	FBtr0302645
bowtie2	deseq2	down	FBtr0302691
bowtie2	deseq2	down	FBtr0302692
bowtie2	deseq2	down	FBtr0302694
bowtie2	deseq2	down	FBtr0302695
bowtie2	deseq2	down	FBtr0302713
bowtie2	deseq2	down	FBtr0302896
bowtie2	deseq2	down	FBtr0302938
bowtie2	deseq2	down	FBtr0303384
bowtie2	deseq2	down	FBtr0303387
bowtie2	deseq2	down	FBtr0303389
bowtie2	deseq2	down	FBtr0303756
bowtie2	deseq2	down	FBtr0303787
bowtie2	deseq2	down	FBtr0303790
bowtie2	deseq2	down	FBtr0303857
bowtie2	deseq2	down	FBtr0303994
bowtie2	deseq2	down	FBtr0304621
bowtie2	deseq2	down	FBtr0304683
bowtie2	deseq2	down	FBtr0304933
bowtie2	deseq2	down	FBtr0304993
bowtie2	deseq2	down	FBtr0304997
bowtie2	deseq2	down	FBtr0305218
bowtie2	deseq2	down	FBtr0306107
bowtie2	deseq2	down	FBtr0306244
bowtie2	deseq2	down	FBtr0306930
bowtie2	deseq2	down	FBtr0307016
bowtie2	deseq2	down	FBtr0307057
bowtie2	deseq2	down	FBtr0307289
bowtie2	deseq2	down	FBtr0307374
bowtie2	deseq2	down	FBtr0307520
bowtie2	deseq2	down	FBtr0308065
bowtie2	deseq2	down	FBtr0308631
bowtie2	deseq2	down	FBtr0308633
bowtie2	deseq2	down	FBtr0308828
bowtie2	deseq2	down	FBtr0309256
bowtie2	deseq2	down	FBtr0309828
bowtie2	deseq2	down	FBtr0310016
bowtie2	deseq2	down	FBtr0310034
bowtie2	deseq2	down	FBtr0310055
bowtie2	deseq2	down	FBtr0310438
bowtie2	deseq2	down	FBtr0310647
bowtie2	deseq2	down	FBtr0310653
bowtie2	deseq2	down	FBtr0310660
bowtie2	deseq2	down	FBtr0310661
bowtie2	deseq2	down	FBtr0321321
bowtie2	deseq2	down	FBtr0329839
bowtie2	deseq2	down	FBtr0329955
bowtie2	deseq2	down	FBtr0329957
bowtie2	deseq2	down	FBtr0330054
bowtie2	deseq2	down	FBtr0330118
bowtie2	deseq2	down	FBtr0330159
bowtie2	deseq2	down	FBtr0330263
bowtie2	deseq2	down	FBtr0330722
bowtie2	deseq2	down	FBtr0330725
bowtie2	deseq2	down	FBtr0330730
bowtie2	deseq2	down	FBtr0331931
bowtie2	deseq2	down	FBtr0331952
bowtie2	deseq2	down	FBtr0332042
bowtie2	deseq2	down	FBtr0332057
bowtie2	deseq2	down	FBtr0332116
bowtie2	deseq2	down	FBtr0332122
bowtie2	deseq2	down	FBtr0332203
bowtie2	deseq2	down	FBtr0332260
bowtie2	deseq2	down	FBtr0332405
bowtie2	deseq2	down	FBtr0332500
bowtie2	deseq2	down	FBtr0332503
bowtie2	deseq2	down	FBtr0332930
