aligner	DEsoftware	direction	ID
bowtie2	deseq2	up	FBtr0330306
bowtie2	deseq2	up	FBtr0330617
bowtie2	deseq2	up	FBtr0330631
bowtie2	deseq2	up	FBtr0331308
bowtie2	deseq2	up	FBtr0332038
bowtie2	deseq2	up	FBtr0332125
bowtie2	deseq2	up	FBtr0332202
bowtie2	deseq2	up	FBtr0332403
bowtie2	deseq2	up	FBtr0332478
bowtie2	deseq2	up	FBtr0332604
bowtie2	deseq2	up	FBtr0332720
bowtie2	deseq2	up	FBtr0332911
bowtie2	deseq2	up	FBtr0332912
bowtie2	deseq2	up	FBtr0332960
bowtie2	deseq2	up	FBtr0332963
bowtie2	deseq2	up	FBtr0333058
bowtie2	deseq2	up	FBtr0333071
bowtie2	deseq2	up	FBtr0333073
bowtie2	deseq2	up	FBtr0333326
bowtie2	deseq2	up	FBtr0333659
bowtie2	deseq2	up	FBtr0333852
bowtie2	deseq2	up	FBtr0333860
bowtie2	deseq2	up	FBtr0334078
bowtie2	deseq2	up	FBtr0334404
bowtie2	deseq2	up	FBtr0334633
bowtie2	deseq2	up	FBtr0334778
bowtie2	deseq2	up	FBtr0334883
bowtie2	deseq2	up	FBtr0335180
bowtie2	deseq2	up	FBtr0335278
bowtie2	deseq2	up	FBtr0335414
bowtie2	deseq2	up	FBtr0336667
bowtie2	deseq2	up	FBtr0336942
bowtie2	deseq2	up	FBtr0337020
bowtie2	deseq2	up	FBtr0339391
bowtie2	deseq2	up	FBtr0339443
bowtie2	deseq2	up	FBtr0339629
bowtie2	deseq2	up	FBtr0339682
bowtie2	deseq2	up	FBtr0339696
bowtie2	deseq2	up	FBtr0339741
bowtie2	deseq2	up	FBtr0340135
bowtie2	deseq2	up	FBtr0340190
bowtie2	deseq2	up	FBtr0340240
bowtie2	deseq2	up	FBtr0342607
bowtie2	deseq2	up	FBtr0342806
bowtie2	deseq2	up	FBtr0342810
bowtie2	deseq2	up	FBtr0342813
bowtie2	deseq2	up	FBtr0342814
bowtie2	deseq2	up	FBtr0342818
bowtie2	deseq2	up	FBtr0342893
bowtie2	deseq2	up	FBtr0343527
bowtie2	deseq2	up	FBtr0344860
bowtie2	deseq2	up	FBtr0344978
bowtie2	deseq2	up	FBtr0344989
bowtie2	deseq2	up	FBtr0345070
bowtie2	deseq2	up	FBtr0345429
bowtie2	deseq2	up	FBtr0346541
bowtie2	deseq2	up	FBtr0346627
bowtie2	deseq2	up	FBtr0346713
bowtie2	deseq2	up	FBtr0346714
bowtie2	deseq2	up	FBtr0346957
bowtie2	deseq2	up	FBtr0347200
bowtie2	deseq2	up	FBtr0347567
bowtie2	deseq2	up	FBtr0347568
bowtie2	deseq2	up	FBtr0472696
